quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1912Q3,505,2,ARABIC—MISCELLANEOUS.,Arabic,,Miscellaneous,1,1012,1500,"Mujtabai Press, Delhi.",Mujtabai Press,Delhi,"Abdur Rahman, Afindi, Ismail, Doctor.",Kitab-ut-Tarbiati wal Adab ish Shar-iyya,True,Religious and moral lessons for children.,56,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,1912-07-03,4 annas,1st,16°,litho.,Y,,,X,Arabic,,Mujtabai Press,Delhi,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,56,[]
1912Q3,505,2,ARABIC—MISCELLANEOUS.,Arabic,,Miscellaneous,2,1011,1500,Ditto,Mujtabai Press,Delhi,Saiyid Afindi Muhammad,Kitab-ut-Tahliati wat Targhib fit Tarbiati wat Tahzib,True,A book on manners and culture.,48,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,1912-07-03,4 annas,1st,16°,litho.,Y,,,,Arabic,,Mujtabai Press,Delhi,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,48,[]
1912Q3,505,2,ARABIC—LANGUAGE.,Arabic,,Language,3,1013,3000,"Mujtabai Press, Delhi.",Mujtabai Press,Delhi,"Abi Nasar Wahid, M.A., Su.",Bakuratul-Adab,True,An Arabic Primer.,64,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,1912-07-12,4 annas,1st,16°,litho.,Y,"Abi Nasar, Wahid, M.A., S.U., Superintendent, Madrisa-i-Alia, Dacca; No. 174, dated the 28th August, 1912.",,,Arabic,,Mujtabai Press,Delhi,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,64,[]
1912Q3,505,2,ARABIC—RELIGION.,Arabic,,Religion,3,1010,1500,"Mujtabai Press, Delhi.",Mujtabai Press,Delhi,Saiyid Afindi Muhammad,Addurratul Abbasia fil Aqaid wal Ibadat-id-Dinia,True,On the doctrines of Islam in the form of a catechism.,48,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,1912-07-03,4 annas,1st,16°,litho.,Y,,,,Arabic,,Mujtabai Press,Delhi,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,48,[]
1912Q3,505,2,ARABIC—LANGUAGE.,Arabic,,Language,4,1009,1500,Ditto,Mujtabai Press,Delhi,,Almutalaatul-Arabia Al-juzul-Awwal was Sani,True,"An Arabic Reader, compiled in Egypt, Parts I and II.","67, 44","Muhammad Abdul Ahad, Mujtabai Press",Delhi,1912-07-03,8 annas,1st,16°,litho.,Y,,,,Arabic,,Mujtabai Press,Delhi,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,111,[]
1912Q3,505,2,ARABIC—LANGUAGE.,Arabic,,Language,5,1008,1300,Ditto,Mujtabai Press,Delhi,,Madarijul Qirat,True,"An illustrated Arabic Reader, written on modern lines by G. Hammam.",132,Muhammad Abdul Ahad Mujtabai Press,Delhi,1912-07-03,"9 annas, 6 pies",1st,16°,litho.,Y,,,X,Arabic,,Mujtabai Press,Delhi,Muhammad Abdul Ahad Mujtabai Press,Delhi,132,"[{""field"": ""price"", ""issue"": ""printed 'Pr.ce'""}]"
1912Q3,505,2,ARABIC—LANGUAGE.,Arabic,,Language,6,1007,1300,Ditto,Mujtabai Press,Delhi,,Mubadiul-Arabia,True,An Arabic Grammar by Rashid Shartuni of Egypt.,200,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,1912-07-03,"13 annas, 6 pies",1st,16°,litho.,Y,,,X,Arabic,,Mujtabai Press,Delhi,"Muhammad Abdul Ahad, Mujtabai Press",Delhi,200,[]
1912Q3,506,3,ENGLISH—ART.,English,,Art,1,1081,1000,"The Coronation Printing Works, Amritsar.",The Coronation Printing Works,Amritsar,,The Punjab University Matriculation Examination.,False,"[Question Papers on Drawing from 1897 to 1912, compiled by B. Gopal Singh.]",42,"the compiler, Drawing Master, Khalsa College, Amritsar",Amritsar,1912-07-12,"Price, 6 annas.",1st,8°,,Y,,,,English,,The Coronation Printing Works,Amritsar,"the compiler, Drawing Master, Khalsa College, Amritsar",Amritsar,42,[]
1912Q3,506,3,ARABIC—RELIGION—CONCLUDED.,Arabic,,Religion,4,1004,1300,"Mujtabai Press, Delhi.",Mujtabai Press,Delhi,,Alfuyuzatur Rabbaniyyah fil Maasiril Qadiria,True,"On mysticism, giving also an account of Shaikh Abdul Qadir, Jilani, a well known Sufi Saint, and his savings, &c., compiled by Haji Ismail.",208,"M. Abdus Sattar, Baghdad",Baghdad,1912-07-02,"Price, 12 annas.",1st,8°,litho.,,,,X,Arabic,,Mujtabai Press,Delhi,"M. Abdus Sattar, Baghdad",Baghdad,208,"[{""field"": ""pp_verbatim"", ""issue"": ""leading digit degraded, reads ':08'""}]"
1912Q3,506,3,ARABIC—RELIGION—CONCLUDED.,Arabic,,Religion,5,856,500,"Civil and Military Organ Press, Ludhiana.",Civil and Military Organ Press,Ludhiana,,Darud Taj mai Munajat,True,Prayers for Muhammad with an ode to the Deity.,10,"M. Muhammad Hafizullah Khan, Ludhiana",Ludhiana,1912-05-10,Free.,1st,16°,litho.,,,,,Arabic,,Civil and Military Organ Press,Ludhiana,"M. Muhammad Hafizullah Khan, Ludhiana",Ludhiana,10,[]
