printed_page,pdf_page,lang,topic,serial,source,field,extraction,other,issue
2,505,Arabic,Language,5,flag,price,,,printed 'Pr.ce'
3,506,Arabic,Religion,4,flag,pp_verbatim,,,"leading digit degraded, reads ':08'"
3,506,English,Language,7,flag,serial,,,"digit faint, reads as 7"
3,506,English,Language,7,flag,copies,,,"reads '1,000' with faint comma"
4,507,English,Miscellaneous,,flag,serial,,,no serial number printed for this entry
4,507,English,Miscellaneous,19,flag,copies,,,"printed 5C0, read as 500"
5,508,English,Religion,2,flag,serial,,,"printed digit faint, likely 2"
6,509,Hindi,Miscellaneous,10,flag,copyright,,,Chhabu spelling degraded
6,509,Hindi,Miscellaneous,13,flag,pp_verbatim,,,reads 10? possibly 100
6,509,Hindi,Poetry,18,flag,reg,,,"reads 1,041 or 1,047"
7,510,Kashmiri,Poetry,2,flag,serial,,,serial number obscured/illegible in scan
7,510,Kashmiri,Poetry,4,flag,serial,,,serial number faint in scan
7,510,Multani,Poetry,5,flag,reg,,,last digit ambiguous (807 vs 867)
11,514,Punjabi,Law,3,flag,copies,,,marked (a) footnote reference
11,514,Punjabi,Language,7,flag,title,,,mixed Gurmukhi and roman transliteration
11,514,Punjabi,Language,9,flag,copies,,,"printed 2,00) ambiguous, likely 2,000"
12,515,Punjabi,Miscellaneous,47,flag,copies,,,"reads 1,000 or 1,060; ambiguous digit"
12,515,Punjabi,Miscellaneous,50,flag,copies,,,"reads 1,0C0; obscured digit"
12,515,Punjabi,Miscellaneous,51,flag,reg,,,"reads 1C92; obscured digit, likely 1092"
13,516,Punjabi,Miscellaneous,52,flag,author,,,Darpan title word partly obscured (Darp..)
13,516,Punjabi,Miscellaneous,53,flag,reg,,,reads 1090 but first digits faint
13,516,Punjabi,Miscellaneous,57,flag,method,,,R. abbreviation ambiguous
15,518,Punjabi,Poetry,160,flag,date,,,year of prior catalogue reads 1910 partly obscured
15,518,Punjabi,Poetry,165,flag,copies,,,"reads 1,000 or 1,000 with faint first digit"
16,519,Punjabi,Poetry,168,flag,reg,,,"possible smudge, reads 1067"
16,519,Punjabi,Poetry,169,flag,reg,,,"faint, reads 888"
16,519,Punjabi,Poetry,172,flag,copies,,,"reads 1,C00 (comma/zero unclear)"
16,519,Punjabi,Poetry,173,flag,serial,,,reads 173 (partly obscured)
17,520,Punjabi,Poetry,176,flag,pp_verbatim,,,"page number partly obscured, read as 16"
18,521,Punjabi,Foetry,185,flag,reg,,,"printed 1085, digit uncertain"
18,521,Punjabi,Foetry,187,flag,reg,,,"printed 1086, last digit uncertain"
20,523,Punjabi,Poetry,198,flag,reg,,,"printed as £76, likely 876"
23,526,Urdu,Art,4,flag,serial,,,serial number obscured
23,526,Urdu,Biography,20,flag,serial,,,serial number obscured
23,526,Urdu,Biography,22,flag,serial,,,serial number obscured
23,526,Punjabi,Religion,32,flag,serial,,,serial number partly obscured
24,527,Urdu,Biography,24,flag,method,,,"printed 'litho., R.' — R meaning unclear"
24,527,Urdu,Biography,25,flag,pp_verbatim,,,printed ' p. 85' — leading char garbled
25,528,Urdu,Fiction,36,flag,method,,,"printed 'R.' after litho., unclear"
26,529,Urdu,Fiction,40,flag,title,,,"Virgina spelling as printed, uncertain"
26,529,Urdu,Fiction,40,flag,edition,,,'R.' meaning unclear
