quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1912Q4,555,2,ENGLISH—BIOGRAPHY.,English,,Biography,2,1391,1000,"Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,,The Luther of India.,False,"Life of Swami Daya Nand, the founder of Arya Samaj, Tract No. 15.",30,"The Secretary, Young Men's Arya Samaj Tract Society",Lahore,1912-11,1 anna 6 pies,1st,8°,,,,,X,English,,Punjab Printing Works,Lahore,"The Secretary, Young Men's Arya Samaj Tract Society",Lahore,30,[]
1912Q4,555,2,ENGLISH—HISTORY.,English,,History,3,1339,1000,"Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,"Anand Sarup, Lala, B.A., B.T.","Guide to the History of India for the Matriculation Examination, 1914.",False,,"1, 262 and appendices, Pp. XLI","Lala Labhu Ram Ram Chand, Book-sellers",Ludhiána,1912-09,12 annas,1st,8°,,Y,,,,English,,Punjab Printing Works,Lahore,"Lala Labhu Ram Ram Chand, Book-sellers",Ludhiana,263,[]
1912Q4,555,2,ARABIC—RELIGION.,Arabic,,Religion,8,1268,500,"Arya Steam Press, Lahore.",Arya Steam Press,Lahore,"Abdul Haq, M.",Tambihul Munkirin an Huquqil Murshidin,True,"On mysticism, &c.",68,"Karamat Shah, Pir Piáwi",District Peshawar,1912-08,Free,1st,8°,litho.,,,,,Arabic,,Arya Steam Press,Lahore,"Karamat Shah, Pir Piawi",District Peshawar,68,[]
1912Q4,555,2,ARABIC—RELIGION.,Arabic,,Religion,9,1348,2000,"Rafah-i-Am Steam Press, Lahore.",Rafah-i-Am Steam Press,Lahore,,Alqaza ush sharai fil Qazail Umri,True,How to at one for the daily prayers which one misses.,11,Shaikh Badar-ud-din,Lahore,1912-09,,1st,8°,litho.,,,,,Arabic,,Rafah-i-Am Steam Press,Lahore,Shaikh Badar-ud-din,Lahore,11,"[{""field"": ""gloss"", ""issue"": ""'to at one' likely 'to be at one' as printed""}]"
1912Q4,555,2,ENGLISH—LANGUAGE.,English,,Language,10,1438,1000,"Wazir-i-Hind Press, Amritsar.",Wazir-i-Hind Press,Amritsar,"Ahmad Ullah, Master.","How to analyse a simple sentence, for the use of Upper Primary and Middle Departments.",False,,10,"Author (Assistant Master, M. A. O. High School, Amritsar)",Amritsar,1912-10-02,1 anna,1st,8°,,Y,,,,English,,Wazir-i-Hind Press,Amritsar,"Author (Assistant Master, M. A. O. High School, Amritsar)",Amritsar,10,[]
1912Q4,555,2,ENGLISH—LANGUAGE.,English,,Language,11,1334,750,"Addison Press, Lahore.",Addison Press,Lahore,"Aikat, A. C., M.A., B.L., Professor.",Notes on Robert Louis Stevenson's Virginibus Puerisque.,False,,"XIII, 114","Lala Atma Ram & Sons, book-sellers",Lahore,1912-09,1 Re.,1st,8°,,Y,,,,English,,Addison Press,Lahore,"Lala Atma Ram & Sons, book-sellers",Lahore,114,[]
1912Q4,555,2,ENGLISH—LANGUAGE.,English,,Language,12,1335,1250,Ditto,Addison Press,Lahore,"Bhattacharya, S. C., M.A., Professor.",Notes on Scott's Peveril of the Peak.,False,,"XXIII, 402","Lala Atma Ram & Sons, book-sellers",Lahore,1912-10,1 Re. 8 annas,1st,8°,,Y,,,,English,,Addison Press,Lahore,"Lala Atma Ram & Sons, book-sellers",Lahore,402,[]
1912Q4,555,2,ENGLISH—LANGUAGE.,English,,Language,13,1368,1500,"Model Press, Lahore.",Model Press,Lahore,"Braja Sundar Roy, M.A., B.L., Professor.","Notes on Laureate Poetry, Book XXX (Sohrab and Rustam).",False,,96,"Lala Atma Ram & Sons, book-sellers",Lahore,1912-09,8 annas,1st,16°,,Y,,,,English,,Model Press,Lahore,"Lala Atma Ram & Sons, book-sellers",Lahore,96,[]
1912Q4,556,3,ENGLISH—LANGUAGE—CONTINUED.,English,,Language,14,1394,20000,"Spottish w o o d & Co., London.",Spottishwood & Co.,London,"Crosse, M., M.A.","[The Indian Empire (Conversational) Readers, Primer I, with illustrations.]",False,,"VIII, 72",Messrs. Gulab Singh & Sons,Lahore,1912,6 annas,1st,16°,,Y,"Rai Sahib Munshi Gulab Singh & Sons, Lahore ; No. 211, dated the 11th November, 1912.",,,English,,Spottishwood & Co.,London,Messrs. Gulab Singh & Sons,Lahore,72,[]
1912Q4,556,3,ENGLISH—LANGUAGE—CONTINUED.,English,,Language,15,1236,1500,"Model P r e s s, Lahore,",Model Press,Lahore,,"Notes on Laureate Poetry, Book VIII (Selections from Tennyson) by Professor Braja Sundar Roy, M.A., B.L.",False,,"XIII, 129","Atma Ram & Sons, book-sellers",Lahore,1912-08,8 annas,1st,16°,,Y,,,,English,,Model Press,Lahore,"Atma Ram & Sons, book-sellers",Lahore,129,[]
