printed_page,pdf_page,lang,topic,serial,source,field,extraction,other,issue
2,555,Arabic,Religion,9,flag,gloss,,,'to at one' likely 'to be at one' as printed
3,556,English,Language,16,flag,reg,,,printed as '1332 with leading mark
3,556,English,Language,18,flag,copies,,,"reads 1,000 but last digit faint"
3,556,English,Language,22,flag,copies,,,"reads 20,0C0, third digit unclear"
4,557,English,Language,27,flag,copies,,,"printed 5,000 with unclear leading digit"
5,558,English,Miscellaneous,26,flag,pp_verbatim,,,"'9!' printed, likely 91"
5,558,English,Miscellaneous,29,flag,edition,,,'enition' printed for edition
6,559,English,Science (Natural and Other),2,flag,date,,,"printed '19.2', reading as 1912"
6,559,Hindi,Biography,3,flag,title_native,,,Devanagari title uncertain reading
6,559,Hindi,Language,13,flag,date,,,Sambat 1969 Vikrami printed alongside October 1912
7,560,Hindi,Miscellaneous,14,flag,notes,,,Sambat year digits partly illegible (1869?)
8,561,Hindi,Poetry,24,flag,copies,,,"printed '1,000' with degraded digit"
8,561,Hindi,Poetry,25,flag,format,,,"size digit degraded, read as 16°"
9,562,Pashtu,Medicine,1,flag,copies,,,"printed '1,)00', reading as 1000"
9,562,Punjabi,Art,3,flag,author,,,name 'Nanak' printed 'Nan.k' partly obscured
9,562,Kashmiri,Poetry,5,flag,edition,,,"leading digit illegible, printed '_st edition'"
9,562,Kashmiri,Poetry,6,flag,author,,,publisher name 'Amad Ullah' possibly 'Ahmad Ullah'
10,563,Punjabi,Biography,7,flag,gloss,,,'Faba Attal' possibly misprint for 'Baba Attal'
12,565,Punjabi,Medicine,8,flag,date,,,day reads '16th' but partly unclear
13,566,Punjabi,Medicine,9,flag,copies,,,could be 500 or 560
13,566,Punjabi,Miscellaneous,61,flag,pp_verbatim,,,could be 105 or 103
13,566,Punjabi,Miscellaneous,64,flag,copies,,,"printed 1,0?0 — likely 1,000"
13,566,Punjabi,Miscellaneous,67,flag,edition,,,"'R.' printed, meaning unclear"
14,567,Punjabi,Miscellaneous,73,flag,format,,,size reads '32°' but partly unclear ('3±°')
15,568,Punjabi,Miscellaneous,75,flag,copies,,,"printed 1,00? — last digit degraded"
15,568,Punjabi,Poetry,217,flag,copies,,,"printed 1,C00 — reading as 1000"
17,570,Punjabi,Poetry,237,flag,title,,,"printer word 'Parchar' printed as '?archar', partly illegible"
19,572,Punjabi,Poetry,248,flag,pp_verbatim,,,"'R.' printed after size, meaning unclear"
22,575,Punjabi,Poetry,274,flag,date,,,"'Augus' partly cut, reading August"
22,575,Punjabi,Poetry,277,flag,copies,,,"reads 3C0, likely 300"
22,575,Punjabi,Poetry,279,flag,pp_verbatim,,,"reads ]82, likely 182"
22,575,Punjabi,Poetry,280,flag,reg,,,"reads 1;04, likely 1304"
25,578,Punjabi,Poetry,299,flag,publisher,,,place spelling 'Kotli Khara' uncertain
25,578,Punjabi,Poetry,301,flag,pcity,,,"printed 'Amrisar', possibly 'Amritsar'"
25,578,Punjabi,Poetry,302,flag,date,,,printed '19.2.' date digits unclear
26,579,Punjabi,Poetry,309,flag,format,,,"'R.' printed after litho., meaning unclear"
27,580,Punjabi,Religion,33,flag,gloss,,,tract number reading '428).' uncertain
27,580,Punjabi,Religion,40,flag,reg,,,"last digit smudged, possibly 1460"
28,581,Sanskrit,Poetry,2,flag,copies,,,"printed 1,00C ambiguous"
28,581,Punjabi,Religion,44,flag,copies,,,"printed 1,C00 ambiguous, read 1000"
29,582,Urdu,Drama,9,flag,price,,,"'R.' printed after litho., possible price note"
31,584,Urdu,Fiction,52,flag,title,,,native script uncertain
31,584,Urdu,Fiction,53,flag,price,,,'R.' abbreviation before price line
31,584,Urdu,Fiction,55,flag,title,,,transliteration 'Bэta' uncertain
33,586,Urdu,Language,32,flag,copyright,,,register number 223/228 uncertain
35,588,Urdu,Miscellaneous,128,flag,edition,,,printed 'R.' ambiguous
37,590,Urdu,Miscellaneous,138,flag,pp_verbatim,,,printed as 16° may be pagination or size ambiguous
