quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1911Q2,240,2,ARABIC—LANGUAGE.,Arabic,,Language,1,626,"5,000","Shahi Press, Ludhiana.",Shahi Press,Ludhiana,,Qaida-i-Arabi.,True,An Arabic Primer.,8,"Shaikh Muhammad Bakhsh Fazl Husain, Booksellers, Ludhiana.",Ludhiana,1911-01,"Price, 3 pies.",,16°,litho.,Y,,,,Arabic,,Shahi Press,Ludhiana,"Shaikh Muhammad Bakhsh Fazl Husain, Booksellers, Ludhiana.",Ludhiana,8,[]
1911Q2,240,2,ARABIC—RELIGION.,Arabic,,Religion,1,560,500,"Wazir-i-Hind Press, Amritsar.",Wazir-i-Hind Press,Amritsar,"Abdul Mohi, Muhammad, Arab.",Ibtal-i-uluhiyyatil Masih wat Taslis.,True,"A pamphlet which tries to prove that the doctrine of Trinity is false, and that Jesus Christ was not God.",50,Author (Published by the author),Qadian,1911-04-15 (1329 Jamadi-ul-Awwal),"Price, 2 annas.",1st,8°,litho.,,,,X,Arabic,,Wazir-i-Hind Press,Amritsar,Author (Published by the author),Qadian,50,[]
1911Q2,240,2,ARABIC—LANGUAGE.,Arabic,,Language,2,628,"5,000",Ditto,Shahi Press,Ludhiana,,Arabic Primer.,False,,12,,,1910-12,"Price, 6 pies.",,8°,litho.,Y,,,,Arabic,,Shahi Press,Ludhiana,,,12,[]
1911Q2,240,2,ARABIC—RELIGION.,Arabic,,Religion,2,739,"12,000","Newal Kishore Gas Printing Works, Lahore.",Newal Kishore Gas Printing Works,Lahore,,"Namaz mai namaz janaza, dua-e-kunut, drud, shash kalm a, sifat-i-iman.",True,A book of Muhammadan prayers.,32,"S. Jot Singh Sant Singh, Booksellers, Lahore.",Lahore,1911-01,"Price, 1½ pies.",1st,32°,litho.,,,,,Arabic,,Newal Kishore Gas Printing Works,Lahore,"S. Jot Singh Sant Singh, Booksellers, Lahore.",Lahore,32,[]
1911Q2,240,2,ARABIC—LANGUAGE.,Arabic,,Language,3,748,"18,000","Newal Kishore Gas Printing Works, Lahore.",Newal Kishore Gas Printing Works,Lahore,,,False,,8,"Jot Singh and Sant Singh, Booksellers, Lahore.",Lahore,1911-05,"Price, 3 pies.",,16°,litho.,Y,,,,Arabic,,Newal Kishore Gas Printing Works,Lahore,"Jot Singh and Sant Singh, Booksellers, Lahore.",Lahore,8,[]
1911Q2,240,2,ARABIC—RELIGION.,Arabic,,Religion,3,708,"15,000",Ditto,Newal Kishore Gas Printing Works,Lahore,,"Quran Majid, Para-i-Awwal.",True,The first part of the Quran.,24,"Maulvi Muhammad Muazzim, Kashmiri Bazar, Lahore, agent to the Anjuman-i-Mujahidin-i-Islam, Punjab.",Lahore,1911-01,"Price, 6 pies.",,8°,litho.,,,,,Arabic,,Newal Kishore Gas Printing Works,Lahore,"Maulvi Muhammad Muazzim, Kashmiri Bazar, Lahore, agent to the Anjuman-i-Mujahidin-i-Islam, Punjab.",Lahore,24,[]
1911Q2,240,2,ARABIC—LANGUAGE.,Arabic,,Language,4,775,"24,000",Ditto,Newal Kishore Gas Printing Works,Lahore,,Qawaid-i-Baghdadi.,True,An Arabic Primer.,16,"Jot Singh and Sant Singh, Booksellers, Lahore.",Lahore,1911-04,"Price, 6 pies.",3rd,8°,litho.,Y,,,,Arabic,,Newal Kishore Gas Printing Works,Lahore,"Jot Singh and Sant Singh, Booksellers, Lahore.",Lahore,16,[]
1911Q2,240,2,ARABIC—RELIGION.,Arabic,,Religion,4,741,"5,000",Ditto,Newal Kishore Gas Printing Works,Lahore,,,False,,24,,,1911-05,"Price, 6 pies.",,8°,litho.,,,[ Previous edition noticed above. ],,Arabic,,Newal Kishore Gas Printing Works,Lahore,,,24,"[{""field"": ""copies"", ""issue"": ""printed '5,000' with space '5 000'""}]"
1911Q2,240,2,ARABIC—RELIGION.,Arabic,,Religion,5,709,"15,000",Ditto,Newal Kishore Gas Printing Works,Lahore,,,False,,24,,,1911-02,"Price, 6 pies.",,8°,litho.,,,Part II.,,Arabic,,Newal Kishore Gas Printing Works,Lahore,,,24,[]
1911Q2,240,2,ARABIC—RELIGION.,Arabic,,Religion,6,710,"15,000",Ditto,Newal Kishore Gas Printing Works,Lahore,,,False,,24,,,1911-02,"Price, 6 pies.",,8°,litho.,,,Part III.,,Arabic,,Newal Kishore Gas Printing Works,Lahore,,,24,[]
