printed_page,pdf_page,lang,topic,serial,source,field,extraction,other,issue
2,240,Arabic,Language,4,internal,copies,"24,000",,copies outside plausible range
2,240,Arabic,Religion,4,flag,copies,,,"printed '5,000' with space '5 000'"
3,241,Arabic,Religion,10,flag,serial,,,"printed digit '1)' degraded, read as 10"
3,241,Arabic,Religion,10,internal,copies,50000,,copies outside plausible range
4,242,English,Miscellaneous,9,flag,copyright,,,"right margin degraded, register no. uncertain"
4,242,English,Miscellaneous,11,flag,copyright,,,right margin degraded
4,242,English,Miscellaneous,12,flag,copyright,,,right margin degraded
4,242,English,Miscellaneous,14,flag,copyright,,,right margin degraded
5,243,Hindi,Drama,1,flag,date,,,"day partly obscured by stamp, reads [1st May, 1911]?"
6,244,Hindi,Politics,1,flag,serial,,,"serial number partly obscured by margin mark, read as 1"
7,245,Kashmiri,Religion,1,flag,title,,,romanization from Arabic script uncertain
7,245,Hindi,Religion,8,flag,pp_verbatim,,,obscured by stamp
7,245,Hindi,Religion,8,flag,edition,,,"obscured by stamp, reads 18"
7,245,Hindi,Religion,10,flag,pp_verbatim,,,last figure 132 or 138 unclear
8,246,Persian,Religion,1,flag,method,,,printed 'lithe.' likely litho.
8,246,Persian,Poetry,2,flag,serial,,,printed 2 but sequence suggests different; ambiguous
8,246,Persian,Religion,2,flag,title,,,transliteration of native title uncertain
9,247,Punjabi,Fiction,8,flag,serial,,,"printed serial digit ambiguous, read as 8"
10,248,Punjabi,Fiction,14,flag,serial,,,"printed as '14' overwritten, uncertain"
10,248,Punjabi,Fiction,14,flag,copyright,,,"degraded text, reading uncertain"
11,249,Punjabi,Miscellaneous,22,flag,date,,,year printed as 191? partly illegible
12,250,Punjabi,Miscellaneous,31,flag,copyright,,,"faint pencil marking '30' in copyright column, uncertain"
13,251,Punjabi,Miscellaneous,34,flag,copies,,,"'1,5C0' possibly 1,500"
14,252,Punjabi,Poetry,107,flag,serial,,,printed as 107 but partly obscured
14,252,Punjabi,Poetry,107,flag,copyright,,,"faint text, city and details uncertain"
16,254,Punjabi,Poetry,123,flag,serial,,,"printed as 12? faint, read 123"
16,254,Punjabi,Poetry,127,flag,format,,,"printed '8,° R.' unclear"
16,254,Punjabi,Poetry,129,flag,printer_verbatim,,,printed 'Dittoi' possibly Ditto
16,254,Punjabi,Poetry,129,flag,format,,,"printed '8°, R.'"
19,257,Punjabi,Poetry,146,flag,price,,,"printed 'Price, 4 annas'"
19,257,Punjabi,Poetry,148,flag,copies,,,"printed '1,C00' ambiguous"
22,260,Punjabi,Poetry,172,flag,serial,,,printed 172 with unclear final digit
23,261,Punjabi,Religion,34,flag,date,,,day printed as '16th' with ambiguous first digit
24,262,Punjabi,Religion,43,flag,reg,,,"final digit ambiguous, reads 665 or 668"
26,264,Sindhi,Religion,1,flag,serial,,,"printed serial illegible, assumed 1"
