quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1910Q2,54,2,ENGLISH—LAW.,English,,Law,1,623,400,Wazir-i-Hind Press,Wazir-i-Hind Press,Amritsar,,"The Digest of Civil, Criminal and Revenue Judgments, Punjab, 1906-1910, with an Index",True,,"7, 40, 1795, 2012, 4, 4, 503-533, 1, 127-128","B. Narayan Singh, Pleader (ed. & pub.)",Amritsar,1910-04-25,Rs. 3,1st,,,,,,,English,,Wazir-i-Hind Press,Amritsar,"B. Narayan Singh, Pleader (ed. & pub.)",Amritsar,3896,[]
1910Q2,54,2,ENGLISH—MEDICINE.,English,,Medicine,1,399,100,Mufid-i-'Am Press,Mufid-i-'Am Press,Lahore,"Harnam Das, Lala",The Doctor. An abstract of the Medical Science,True,,168,Author (retired Assistant Surgeon),Lahore,1909-12-03,"Rs. 2, 8 annas",1st,,,,,,,English,,Mufid-i-Am Press,Lahore,Author (retired Assistant Surgeon),Lahore,168,[]
1910Q2,54,2,ENGLISH—LAW.,English,,Law,2,459,1000,Caxton Press,Caxton Press,Lahore,,"The Indian Arms Act, 1878",True,,88,G. K. Roy,Lahore,1910-03-23,"Rs. 4, 5 annas",1st,,,,,,,English,,Caxton Press,Lahore,G. K. Roy,Lahore,88,"[{""field"": ""reg"", ""issue"": ""459 vs 450 - final digit adjudication vs Davis""}]"
1910Q2,54,2,ENGLISH—LAW.,English,,Law,3,696,1000,Punjab Printing Works,Punjab Printing Works,Lahore,,"The Indian Arms Act Manual, Act No. XI of 1878, with appendices",True,,161 and 55,G. K. Roy,Lahore,1910-05,"Rs. 5, 4 annas",1st,,,,,,,English,,Punjab Printing Works,Lahore,G. K. Roy,Lahore,216,[]
1910Q2,54,2,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,3,626,50,New Commercial Press,New Commercial Press,Dera Ismail Khan,,"Experimental Musketry Course, 1910-11",True,,21,Adjutant-General in India,,1910-05-07,11 annas,1st,,,,,,,English,,New Commercial Press,Dera Ismail Khan,Adjutant-General in India,,21,[]
1910Q2,54,2,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,4,408,5000,Mufid-i-Am Press,Mufid-i-Am Press,Lahore,"Fleming, D. J., Dr., M.A., M.Sc.",Education as Road Making,True,,11,"Author (Professor of Physics, Forman Christian College)",Lahore,1910-01-18,Free,1st,,,Y,,,,English,,Mufid-i-Am Press,Lahore,"Author (Professor of Physics, Forman Christian College)",Lahore,11,[]
1910Q2,54,2,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,5,437,1000,The Punjab Educational Printing Works,The Punjab Educational Printing Works,Lahore,"Jiwan Singh, Bhai",Ready Reckoner,True,,171,"Author (Head Clerk, 22nd Derajat Mountain Battery)",,1910-02,Rs. 3,1st,,,,,,,English,,Punjab Educational Printing Works,Lahore,"Author (Head Clerk, 22nd Derajat Mountain Battery)",,171,[]
1910Q2,54,2,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,6,698,1020,Punjab Steam Press,Punjab Steam Press,Lahore,,"Khosla's Directory of India, Burma and Ceylon for 1910, in four parts",True,,"46, 1090, 50, 1018, 508 and 6",K. R. Khosla and Brother,Lahore,1910-04,Rs. 15,1st,,,,,,,English,,Punjab Steam Press,Lahore,K. R. Khosla and Brother,Lahore,2718,[]
1910Q2,55,3,ENGLISH—PHILOSOPHY.,English,,Philosophy,1,507,1000,Imperial Medical Hall Press,Imperial Medical Hall Press,Delhi,"Swami Rama Tiratha, M.A., of Lahore","In Woods of God-Realization, or complete works of Swami Rama Tiratha, Volume 1",True,,"164, 159 and 181",Amir Chand,Delhi,1910-03-15,"Re. 1, 8 annas (paper); Rs. 2 (cloth)",1st,,,,,,,English,,Imperial Medical Hall Press,Delhi,Amir Chand,Delhi,504,[]
1910Q2,55,3,ARABIC—LANGUAGE.,Arabic,,Language,1,492,1300,Faruqi Press,Faruqi Press,Delhi,"Muhammad Shuaib, Maulvi","Tahrir-i-Sambat Maat-Tuhfat-ul-Khadimiyyah wat-Talmihat-il-Mufidah (commentary on Kafiyah, Arabic grammar)",True,,332,Sayad Abdus Salam,Delhi,1910-03-01 (1327 Hijri),9 annas,1st,,,Y,,,,Arabic,,Faruqi Press,Delhi,Sayad Abdus Salam,Delhi,332,[]
