quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1912Q1,404,2,ARABIC—HISTORY.,Arabic,,History,1,57,"2,000","Mujtabai Press, Delhi.",Mujtabai Press,Delhi,Jalal-ud-din : Siyuti,Tarikh-ul-Khulafa,True,History of the Caliphs written in the 15th Century.,372,"M. Muhammad Abdul Ahad, Mujtabai Press",Delhi,1911-10-01 (1328 Hejira),"Price, 1. Re.",1st edition,8°,litho.,Y,"M. Muhammad Abdul Ahad, Proprietor, Mujtabai Press, Delhi ; No. 10, dated the 5th January, 1912.",,X,Arabic,,Mujtabai Press,Delhi,"M. Muhammad Abdul Ahad, Mujtabai Press",Delhi,372,[]
1912Q1,404,2,ARABIC—LANGUAGE.,Arabic,,Language,1,144,"3,000","Mufid-i-'Am Press, Lahore.",Mufid-i-'Am Press,Lahore,,Qaida-i-Baghdadiyya mai Juz-il-'Amm,True,An Arabic Primer together with the 30th part of the Quran.,64,"Mr. Pokhar Das, Bookseller",Shikarpur,1911-12-23,"Price, 1 anna 6 pies.",1st edition,8°,litho.,Y,,,,Arabic,,Mufid-i-Am Press,Lahore,"Mr. Pokhar Das, Bookseller",Shikarpur,64,[]
1912Q1,404,2,ARABIC—POETRY.,Arabic,,Poetry,1,269,"1,000","Rafah-i-'Am Steam Press, Lahore.",Rafah-i-'Am Steam Press,Lahore,"Ahmad Bin Ali, Maulavi",Futuh-ur-Rahman,True,"A pamphlet endeavouring to prove that Christ died, and that Mirza Ghulam Ahmad of Qádián was the promised Messiah.",16,Author,Qádián,1911-12,,1st edition,8°,litho.,,,,X,Arabic,,Rafah-i-Am Steam Press,Lahore,Author,Qadian,16,[]
1912Q1,404,2,ARABIC—RELIGION.,Arabic,,Religion,1,56,"1,600","Mujtabai Press, Delhi.",Mujtabai Press,Delhi,"Sad-ud-din, Allama, Taftazani",Alkhayali Ala Sharhil Aqai-din-Nasfiyya,True,"An old text-book on the fundamental articles of the Moslem faith with its commentary—""Khayali""—by M. Ahmad Bin Musa Shams-ud-din and marginal notes by M. Abdul Hakim of Siálkot and M. Abdulla Bin Haji Sahib.",150,"M. Muhammad Abdul Ahad, Mujtabai Press",Delhi,1911-09-15 (1329 Hejira),"Price, 12 anna.",1st edition,4°,litho.,,"M. Muhammad Abdul Ahad, Proprietor, Mujtabai Press, Delhi ; No. 9, dated the 5th January 1912.",,X,Arabic,,Mujtabai Press,Delhi,"M. Muhammad Abdul Ahad, Mujtabai Press",Delhi,150,[]
1912Q1,404,2,ENGLISH—BIOGRAPHY.,English,,Biography,1,104,300,""" Tribune "" Press, Lahore.",""" Tribune "" Press",Lahore,"Umrao Raja Lal, Dr.","A short account of the Life and Family of Rai Jeewan Lal, Bahadur, late Honorary Magistrate, Delhi, with extracts from his diary relating to the time of Mutiny, 1857.",False,"A short account of the Life and Family of Rai Jeewan Lal, Bahadur, late Honorary Magistrate, Delhi, with extracts from his diary relating to the time of Mutiny, 1857.",220,Author,Delhi,1911-12,,3rd edition,8°,,,,,X,English,,""" Tribune "" Press",Lahore,Author,Delhi,220,[]
1912Q1,404,2,ENGLISH—HISTORY.,English,,History,1,302,"1,000","""The Civil and Military Gazette Press,"" Lahore.","""The Civil and Military Gazette Press,""",Lahore,,"The History of the Muhiyals, The Militant Brahman Race of India",False,"The History of the Muhiyals, The Militant Brahman Race of India, compiled by T. P. Russell Stracey.","11, 84, and 106",The General Muhiyal Sabha,Lahore,1911-07,"Price, 1 Re. 8 annas. Superior paper and binding 2 Rs. 8 annas.",1st edition,8°,,,"The General Muhiyal Sabha, Punjab, Lahore; No. 56, dated the 7th March, 1912.",,X,English,,"""The Civil and Military Gazette Press,""",Lahore,The General Muhiyal Sabha,Lahore,201,"[{""field"": ""format"", ""issue"": ""size digit degraded, reads 'b°'""}]"
1912Q1,404,2,ARABIC—LANGUAGE.,Arabic,,Language,2,4,"1,000","Wazir-i-Hind Steam Press, Amritsar.",Wazir-i-Hind Steam Press,Amritsar,,Qawaid-i-Baghdadi,True,An Arabic Primer.,16,"Lala Devi Das and Sons, Book-sellers",Amritsar,1911-11-02,"Price, 1 anna.",,8°,litho.,Y,,,,Arabic,,Wazir-i-Hind Steam Press,Amritsar,"Lala Devi Das and Sons, Book-sellers",Amritsar,16,"[{""field"": ""edition"", ""issue"": ""'R.' printed, ambiguous""}]"
1912Q1,405,3,ENGLISH—LANGUAGE.,English,,Language,1,133,5000,"Mufid-i-'Am Press, Lahore.",Mufid-i-'Am Press,Lahore,,"A Book of Golden Deeds, Part I, by Charlotte M. Yonge with introduction, notes, &c. by Earnest Smith.",False,,155,Messrs Gulab Singh and Sons,Lahore,1911-12-19,12 annas,1st,16°,,Y,,,,English,,Mufid-i-Am Press,Lahore,Messrs Gulab Singh and Sons,Lahore,155,[]
1912Q1,405,3,ENGLISH—MEDICINE.,English,,Medicine,1,46,500,"Medico-Scientific Press, Delhi.",Medico-Scientific Press,Delhi,"Ram Narain, Dr., L. M. S.",""" A Pharmacopœa of selected remedies employed by the Vaids and Hakims of India, with a glossary of Indian drugs and their scientific names, vernacular synomyms, properties, &c.""",False,,186,,Delhi,1911-02-23,3 Rs.,2nd,8°,,,,""" Practical Medicine,"" Delhi.",,English,,Medico-Scientific Press,Delhi,,Delhi,186,[]
1912Q1,405,3,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,1,122,1000,"Egerton Press, Rawalpindi.",Egerton Press,Rawalpindi,,Egerton Press Scoring Book for Annual Course of Musketry.,False,,32,J. R. Thapur and Sons,Ráwalpindi,1912-01,2 annas,1st,16°,,,"J. R. Thapur and Sons, Proprietors, Egerton Press, Rawalpindi; No. 34, dated 5th February 1912.",,,English,,Egerton Press,Rawalpindi,J. R. Thapur and Sons,Rawalpindi,32,[]
