quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1911Q1,195,2,ARABIC—ART.,Arabic,,Art,1,206,2000,"Newal Kishore Press, Lahore.",Newal Kishore Press,Lahore,,Kita-i-Panjtan,True,"a sheet containing the names of Allah, Muhammad, Ali, Fatima, Hasan & Husain, designed by M. Ghulam Muhi-ud-din, Lahore.",One sheet,the designer,Lahore,1911-01 (1329 Hijri),"Price, 1 anna 6 pies.",1st,14″ × 9.″,litho.,,"Maulvi Ghulam Muhi-ud-din, Lahore; No. 15, dated the 11th February 1911.",,X,Arabic,,Newal Kishore Press,Lahore,the designer,Lahore,,[]
1911Q1,195,2,ENGLISH—HISTORY.,English,,History,1,104,500,"The Punjab Educational Printing Works, Lahore.",The Punjab Educational Printing Works,Lahore,"Clan, H. R.",A Guide to the histories of Greece and Rome,False,,134,"the Scholars' Own Repository, Book-sellers",Lahore,1910-12-05,"Price, 8 annas.",1st,16°,,Y,,,,English,,Punjab Educational Printing Works,Lahore,"the Scholars' Own Repository, Book-sellers",Lahore,134,[]
1911Q1,195,2,ENGLISH—MEDICINE.,English,,Medicine,1,202,1000,"Punjab Economical Press, Lahore.",Punjab Economical Press,Lahore,,A Guide to Clinical Work for the use of Students,False,"This small pamphlet contains direction for the examination of urine and blood, compiled by M. Ghulam Rassul, Mayo Hospital, Lahore.",19,the compiler,Lahore,1911-01-04,"Price, 4 annas.",1st,16°,,Y,,,,English,,Punjab Economical Press,Lahore,the compiler,Lahore,19,[]
1911Q1,195,2,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,1,210,1000,"Jiwan Press, Lahore",Jiwan Press,Lahore,,General Information regarding the Dev Samaj,False,"Edited by Pandit Dev Ratan, Lahore.",4,The Dev Samaj,Lahore,1911-01-08,Free.,1st,8°,,,,,,English,,Jiwan Press,Lahore,The Dev Samaj,Lahore,4,"[{""field"": ""serial"", ""issue"": ""serial number partly obscured, appears to be 1""}]"
1911Q1,195,2,ARABIC—ART.,Arabic,,Art,2,207,1000,Ditto,Newal Kishore Press,Lahore,,Asma-i-Panjtan,True,"a sheet containing the names, noted in the above entry, designed by M. Ghulam Muhi-ud-din, Lahore.",One sheet,the designer,Lahore,1911-01 (1329 Hijri),"Price, 3 annas",1st,22 × 29,litho.,,"Maulvi Ghulam Mahi-ud-din, Lahore; No. 16, dated the 11th February, 1911.",,,Arabic,,Newal Kishore Press,Lahore,the designer,Lahore,,[]
1911Q1,195,2,ENGLISH—HISTORY.,English,,History,2,218,1000,Ditto,The Punjab Educational Printing Works,Lahore,"Muhammad Husain, Maulvi, Azad, Shams-ul-Ulama.","Qassas-i-Hind, part II",False,"An English translation of Qasas-i-Hind or stories from the Indian History, Part II, by Bawa Chhajju Singh.","220, 2","The Scholars' Own Repository, Book-sellers",Lahore,1910-12-24,"Price, 10 annas.",2nd,16°,,Y,,[Previous edition noticed in entry No. 8 at page 3 of the catalogue for the quarter ending the 31st March 1907.],,English,,Punjab Educational Printing Works,Lahore,"The Scholars' Own Repository, Book-sellers",Lahore,222,[]
1911Q1,195,2,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,2,220,1000,"Punjab Educational Printing Works, Lahore.",Punjab Educational Printing Works,Lahore,Helps. Sir Arthur,"Friends in Council, First Series",False,Essays on miscellaneous subjects.,492,"The Scholars' Own Repository, Book-sellers",Lahore,1910-12-13,"Price, Rs. 2, 8 annas.",2nd,16°,,,,[Previous edition noticed in entry No.    at page    of the catalogue for the quarter ending the    ],,English,,Punjab Educational Printing Works,Lahore,"The Scholars' Own Repository, Book-sellers",Lahore,492,[]
1911Q1,195,2,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,3,236,3000,"Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,"Kaushla Nandan Sahay, B.A.",Professor Rama Murti's exercises,False,"An illustrated book on Rama Murti's system of physical training, containing also a brief account of the feats of strength performed and the medals won by him.",29,the author,Lahore,1910-12,"Price, 6 annas.",1st,8°,,,,,,English,,Punjab Printing Works,Lahore,the author,Lahore,29,[]
1911Q1,196,3,ENGLISH—POETRY.,English,,Poetry,1,290,1000,"""Civil and Military Gazette"" Press, Lahore.","""Civil and Military Gazette"" Press",Lahore,,Damfool Smith Pote.,False,A book which contains verses and sketches.,89,,,1911-01-10,"Price, Re. 1.",1st,8°,,,"Major A. A. Irvine, Divisional, Judge, Lahore; No. 23, dated 9th February 1911.",,,English,,"""Civil and Military Gazette"" Press",Lahore,,,89,[]
1911Q1,196,3,ENGLISH—RELIGION.,English,,Religion,1,209,500,"Jiwan Press, Lahore.",Jiwan Press,Lahore,"Dev Ratan, Pandit.","The Four Great Principles relating to the life of man as discovered and taught by Shri Dev Guru Bhagwan, read at the Convention of Religions held at Allahabad in January 1911.",False,,13,Dev Samaj,Lahore,1911-01-07,"Price, 6 pies.",1st,16°,,,,,,English,,Jiwan Press,Lahore,Dev Samaj,Lahore,13,[]
1911Q1,196,3,ENGLISH—RELIGION.,English,,Religion,2,135,1000,"Wazir-i-Hind Press, Amritsar.",Wazir-i-Hind Press,Amritsar,"Jodh Singh, Bhai.","A paper on Sikhism, read before the Calcutta Religious Convention held in April 1909.",False,,16,Khalsa National Agency,Amritsar,1910-12-09,"Price, 1 anna.",2nd,16°,,,,,,English,,Wazir-i-Hind Press,Amritsar,Khalsa National Agency,Amritsar,16,[]
1911Q1,196,3,ENGLISH—RELIGION.,English,,Religion,3,288,500,"Royal Press, Rawalpindi,",Royal Press,Rawalpindi,,"The Teachings of Nanak, I. Return good for evil.",False,"This pamphlet contains an English translation of some texts from the Sikh Grantha, with English notes and explanations, on the subject of returning good for evil.",18,Author (the compiler),,1911-03-06,Free.,1st,16°,,,,Compiled by Sham Singh of Ráwalpindi.,,English,,Royal Press,Rawalpindi,Author (the compiler),,18,"[{""field"": ""serial"", ""issue"": ""serial number faint/illegible, inferred 3""}]"
1911Q1,196,3,ENGLISH—MISCELLANEOUS—CONCLUDED.,English,,Miscellaneous,4,91,600,"The Tribune Press, Lahore.",The Tribune Press,Lahore,,"Report of the Proceedings of the twenty-fourth Indian National Congress held at Lahore on the 27th. 28th and 29th Decemher, 1909.",False,,"3, 130, 33",The Indian National Congress Committee,Lahore,1910-12-15,Free.,1st,4°,,Y,,,,English,,The Tribune Press,Lahore,The Indian National Congress Committee,Lahore,166,"[{""field"": ""printer_verbatim"", ""issue"": ""'Decemher' printed for December""}]"
1911Q1,196,3,ENGLISH—MISCELLANEOUS—CONCLUDED.,English,,Miscellaneous,6,241,1000,"Mercantile Press, Lahore.",Mercantile Press,Lahore,,"A Glossary of Technical Terms used in Physical Geography by the Manager of ""The Teacher,"" Dinga, Gujrat.",False,,14,Author (the compiler),,1910-12,"Price, 2 annas.",1st,8°,,,,,,English,,Mercantile Press,Lahore,Author (the compiler),,14,[]
1911Q1,196,3,ENGLISH—MISCELLANEOUS—CONCLUDED.,English,,Miscellaneous,6,219,1000,"Punjab Educational Printing Works, Lahore.",Punjab Educational Printing Works,Lahore,"Ghosh, J. B.",Notes on Helps' Friends in Council (1st series),False,,"5, 183","The Scholars' Own Repository, Book-sellers",Lahore,1910-12-27,"Price, Re. 1, 8 annas.",2nd,16°,,,,,,English,,Punjab Educational Printing Works,Lahore,"The Scholars' Own Repository, Book-sellers",Lahore,188,"[{""field"": ""serial"", ""issue"": ""printed 6 but sequence expects 5; ambiguous digit""}]"
1911Q1,196,3,ENGLISH—MISCELLANEOUS—CONCLUDED.,English,,Miscellaneous,7,233,1000,"Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,"Rura Ram, Lala, B. A.",Special aids to Physical Geography.,False,,62,Author,Lahore,1910-12,"Price, 6 annas.",1st,8°,,,,,,English,,Punjab Printing Works,Lahore,Author,Lahore,62,[]
1911Q1,197,4,ENGLISH—SCIENCE (MATHEMATICAL).,English,,Science (Mathematical),1,240,1000,"Mercantile Press, Lahore.",Mercantile Press,Lahore,"Asaf, J. D.",Success in Mathematics.,False,"[This book contains solutions of questions in Algebra, Arithmetic and Geometry.]",80,Author,Lahore,1910-12,"Price, 10 annas.",1st,8°,,Y,,,,English,,Mercantile Press,Lahore,Author,Lahore,80,[]
1911Q1,197,4,ENGLISH—SCIENCE (NATURAL).,English,,Science (Natural),1,242,200,"Mercantile Press, Lahore.",Mercantile Press,Lahore,"Manohar Lal, Lala.",Notes on Metals with Table of Analysis.,False,,45,Author,Lahore,1910-12,Free.,1st,8°,,,,,,English,,Mercantile Press,Lahore,Author,Lahore,45,[]
1911Q1,197,4,ENGLISH—TRAVELS.,English,,Travels,1,105,1000,"The Punjab Educational Printing Works, Lahore.",The Punjab Educational Printing Works,Lahore,,"Notes on Robert Louis Stevenson's Inland Voyage, by Revd. E. D. Lucas.",False,,"5, 132","Scholars' Own Repository, Book-sellers, Lahore",Lahore,1910-12-10,"Price Re. 1, annas 8.",1st,8°,,Y,,,X,English,,Punjab Educational Printing Works,Lahore,"Scholars' Own Repository, Book-sellers, Lahore",Lahore,137,[]
1911Q1,197,4,HINDI—MISCELLANEOUS.,Hindi,,Miscellaneous,1,239,500,"Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,,Amritsar Pinjrapol,True,or the seventh Annual Report of the Cow Protection Society of Amritsar which maintains a charitable cattle-range.],"7, 36",Secretary of the Society,,1910-12,Free.,1st,8°,,,,,,Hindi,,Punjab Printing Works,Lahore,Secretary of the Society,,43,[]
1911Q1,197,4,ENGLISH—TRAVELS.,English,,Travels,2,289,800,"""Civil and Military Gazette"" Press, Lahore.","""Civil and Military Gazette"" Press",Lahore,,"The Tourist's Guide to Kashmir, Ladakh, Skardo, &c., edited by Arthur Neve, F. R. C. S., Surgeon to the Kashmir Medical Mission.",False,,225,,,1911-01-15,"Price, Rs. 2.",8th,8°,,,"Dr. Arthur Neve, F.R.C.S., Medical Mission, Srinagar, Kashmir. No. 22, dated the 9th February, 1911.",,X,English,,"""Civil and Military Gazette"" Press",Lahore,,,225,[]
1911Q1,197,4,HINDI—MISCELLANEOUS.,Hindi,,Miscellaneous,2,78,1000,"Jiwan Press, Lahore.",Jiwan Press,Lahore,,Dev Samaj ke sambandh men janne ke yogya kuchh sadharan baten,True,A few distinguishing features of the Dev Samaj and the work done by that body.],4,"The Secretary of the Samaj, Lahore",Lahore,1910-12-15,Free.,1st,8°,,,,,,Hindi,,Jiwan Press,Lahore,"The Secretary of the Samaj, Lahore",Lahore,4,[]
