printed_page,pdf_page,lang,topic,serial,source,field,extraction,other,issue
2,195,English,Miscellaneous,1,flag,serial,,,"serial number partly obscured, appears to be 1"
3,196,English,Religion,3,flag,serial,,,"serial number faint/illegible, inferred 3"
3,196,English,Miscellaneous,4,flag,printer_verbatim,,,'Decemher' printed for December
3,196,English,Miscellaneous,6,flag,serial,,,printed 6 but sequence expects 5; ambiguous digit
5,198,Hindi,Miscellaneous,,flag,serial,,,serial number illegible in margin
5,198,Hindi,Miscellaneous,,flag,serial,,,serial number illegible in margin
5,198,Hindi,Miscellaneous,,flag,serial,,,serial number illegible in margin
5,198,Hindi,Poetry,1,flag,title,,,obscured by stamp
5,198,Hindi,Poetry,1,flag,gloss,,,obscured by stamp
5,198,Hindi,Poetry,3,flag,gloss,,,obscured by stamp
5,198,Hindi,Poetry,3,flag,date,,,day obscured by stamp
5,198,Hindi,Poetry,3,flag,edition,,,edition ordinal obscured by stamp
5,198,Hindi,Poetry,4,flag,serial,,,serial number faint in margin
6,199,Hindi,Religion,4,flag,author,,,'Sihgh' likely 'Singh' as printed
7,200,Multani,Poetry,1,flag,title,,,romanization of Arabic script uncertain
8,201,Multani,Poetry,3,flag,date,,,Hiiri printed for Hijri
10,203,Punjabi,Miscellaneous,3,flag,copyright,,,"faint print, name partly illegible"
10,203,Punjabi,Miscellaneous,5,flag,copies,,,printed '1.000' ambiguous
11,204,Punjabi,Miscellaneous,12,flag,serial,,,printed serial digit unclear (12)
11,204,Punjabi,Miscellaneous,13,flag,serial,,,printed serial digit unclear (13)
12,205,Punjabi,Poetry,1,flag,title,,,romanization spelling uncertain (afim/arthat/afimi)
12,205,Punjabi,Poetry,3,flag,serial,,,"serial number obscured by pencil cross, inferred as 3"
13,206,Punjabi,Poetry,9,flag,author,,,romanized name partly obscured; 'Girdbar Raiji' vs 'Girdhar Raiji'
13,206,Punjabi,Poetry,11,flag,serial,,,serial number obscured in margin; inferred as 11
13,206,Punjabi,Poetry,12,flag,serial,,,serial number obscured; inferred as 12
13,206,Punjabi,Poetry,13,flag,serial,,,serial number obscured; inferred as 13
13,206,Punjabi,Poetry,13,internal,copies,30000,,copies outside plausible range
13,206,Punjabi,Poetry,14,flag,serial,,,serial number obscured; inferred as 14
14,207,Punjabi,Poetry,17,flag,author,,,first name possibly 'Ishar' or 'Ishan'
15,208,Punjabi,Poetry,27,flag,gloss,,,'collectad' as printed
16,209,Punjabi,Poetry,38,flag,format,,,"degraded, reads like 16°"
16,209,Punjabi,Poetry,39,flag,serial,,,digit partly obscured by pencil mark
16,209,Punjabi,Poetry,41,flag,reg,,,"faint, reads 44"
17,210,Punjabi,Poetry,46,flag,printer,,,'Amritar' likely misprint for Amritsar; transcribed as printed
19,212,Punjabi,Poetry,62,flag,edition,,,printed '1s edition'
21,214,Punjabi,Poetry,76,flag,title,,,native script reading uncertain
22,215,Punjabi,Poetry,85,flag,title,,,native script reading uncertain
22,215,Punjabi,Poetry,89,flag,date,,,"December, 1910 partly degraded"
23,216,Punjabi,Religion,1,flag,serial,,,"serial digit partly obscured, appears '1'"
23,216,Punjabi,Religion,1,flag,copies,,,reads '500' possibly '50)'
23,216,Punjabi,Poetry,94,flag,pcity,,,printed 'Amrisar' possibly 'Amritsar'
24,217,Punjabi,Religion,5,flag,gloss,,,"'Translad' printed unclearly, likely 'Translated'"
25,218,Punjabi,Religion,17,flag,format,,,printed '4°' partly illegible
26,219,Sindhi,Miscellaneous,1,flag,copyright,,,right margin partly cropped
26,219,Punjabi,Religion,25,flag,date,,,day partly illegible '3.th'
28,221,Urdu,Drama,3,flag,pcity,,,'Lndhiana' printed thus (Ludhiana)
28,221,Urdu,Fiction,3,flag,date,,,printed 'Janary'
28,221,Urdu,Fiction,3,flag,format,,,"printed '8,° litho.'"
29,222,Urdu,Fiction,9,flag,price,,,"printed '6|annas', likely 6 annas"
30,223,Urdu,Law,1,flag,copyright,,,"degraded text, dates partly illegible"
31,224,Urdu,Miscellaneous,1,flag,reg,,,printed with asterisk *315
32,225,Urdu,Miscellaneous,4,flag,format,,,"printed as native-script character, read as 8°"
32,225,Urdu,Miscellaneous,7,flag,copyright,,,date partly degraded
33,226,Urdu,Miscellaneous,12,flag,author,,,'Babn' likely Babu misprint
33,226,Urdu,Miscellaneous,13,flag,copies,,,'250' printed as '25o'
