quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1911Q4,356,2,ARABIC—POETRY.,Arabic,,Poetry,1,1440,800,"Magazine Press, Qádian.",Magazine Press,Qádian,,[Qasaid-i-Ahmadiya Minal Imam Hujjatil Islam],True,"A collection of various poems of Mirza Ghulam Ahmad of Qádian, mostly in praise of Muhammad.",158,Sadar Anjuman-i-Ahmadiya,Qádian,1911-11-10,"Price, 6 annas.",1st edition,8°,litho.,,,,X,Arabic,,Magazine Press,Qadian,Sadar Anjuman-i-Ahmadiya,Qadian,158,[]
1911Q4,356,2,ENGLISH—SCIENCE (MATHEMATICAL).,English,,Science (Mathematical),2,1409,1000,"The New Lyall Press, Lahore.",The New Lyall Press,Lahore,"Muhammad Qasim, Munshi",Qasim's Earthwork Tables.,False,,97,Author,Lahore,1911-06,"Price, 4 Rs.",1st edition,"10""×7½""",,,"Munshi Muhammad Qasim, Head Draftsman, of Ambala, Irrigation Branch, P.W.D., Punjab, Lahore, No. 157, dated the 10th November, 1911.",,X,English,,The New Lyall Press,Lahore,Author,Lahore,97,[]
1911Q4,356,2,ENGLISH—HISTORY.,English,,History,3,1198,189,"Tribune Press, Lahore.",Tribune Press,Lahore,"Gokul Chand, Dr., Narang, M. A.",The Transition of Sikhism into a Political Organization.,False,,160,Author,Lahore,1911-09-18,Free.,1st edition,8°,,,,,X,English,,Tribune Press,Lahore,Author,Lahore,160,[]
1911Q4,356,2,ENGLISH—LANGUAGE.,English,,Language,3,1285,1500,"New Albion Press, Jullundur cantt.",New Albion Press,Jullundur cantt.,"Gokul Chand, Lala, B.A. and Lekh Raj Tarikha, Lala, M.A.","Notes on ""A book of Golden Deeds, Part I"".",False,,96,"Messrs. Nihal Chand Dial Chand, Book-sellers",Jullundur city,1911-08-28,"Price, 12 annas.",1st edition,16°,,Y,,,X,English,,New Albion Press,Jullundur cantt.,"Messrs. Nihal Chand Dial Chand, Book-sellers",Jullundur,96,"[{""field"": ""serial"", ""issue"": ""leading digit partly obscured, read as 3""}]"
1911Q4,356,2,ENGLISH—SCIENCE (NATURAL AND OTHER).,English,,Science (Natural and Other),3,1552,1000,"Mufid-i-'Am Press, Lahore.",Mufid-i-'Am Press,Lahore,"Perry, E. L., Major","Life, Light and Cleanliness: A Health Primer.",False,,"8, 108",Messrs. Gulab Singh and Sons,Lahore,1911-08-02,"Price, 8 annas.",1st edition,16°,,Y,"The Punjab Text Book Committee, Lahore, No. 168, dated the 15th December, 1911.",,X,English,,Mufid-i-Am Press,Lahore,Messrs. Gulab Singh and Sons,Lahore,116,[]
1911Q4,356,2,ARABIC—LANGUAGE.,Arabic,,Language,7,1223,2000,"Hindustan Steam Press, Lahore.",Hindustan Steam Press,Lahore,,[Qawaid-i-Baghdadi. An Arabic Primer],True,An Arabic Primer.,12,"M. Hira Lal and Sons, Book-sellers",Hoshiárpur,1911-08,"Price, 1 anna.",,8°,litho.,Y,,,X,Arabic,,Hindustan Steam Press,Lahore,"M. Hira Lal and Sons, Book-sellers",Hoshiarpur,12,[]
1911Q4,356,2,ARABIC—RELIGION.,Arabic,,Religion,11,1408,1500,"Islamia Steam Press, Lahore.",Islamia Steam Press,Lahore,"Yusaf Bin Junaid, Maulana",[Zakhiratul Uqba],True,An ancient book of Muhammadan Law and Religion written in the end of the 9th century.,"4, 548",Maulavi Muhammad Amin of Qandhar,,1911-10-19 (1329 Hijri),"Price, 3 Rs.",1st edition,8°,litho.,,"Maulavi Muhammad Amin, Abdur Rahim of Qandhar No. 156, dated the 10th November, 1911.",,X,Arabic,,Islamia Steam Press,Lahore,Maulavi Muhammad Amin of Qandhar,,552,[]
1911Q4,357,3,ENGLISH—SCIENCE (NATURAL AND OTHER)—CONCLUDED.,English,,Science (Natural and Other),4,1555,1000,"Egerton Press, Ráwalpindi.",Egerton Press,Ráwalpindi,,The Students' own Scientific chart (series No. 1) Metals only.,False,,One sheet,"B. Anup Singh, Bhardwaj",Ráwalpindi city,1911-12,1 anna,1st,18 × 22,,Y,"B. Anup Singh, Bhardwaj, Ráwalpindi city, No. 166, dated the 19th December, 1911.",,X,English,,Egerton Press,Rawalpindi,"B. Anup Singh, Bhardwaj",Rawalpindi,,[]
1911Q4,357,3,HINDI—MEDICINE.,Hindi,,Medicine,5,1402,1000,"Punjab Educational Printing Works, Lahore.",Punjab Educational Printing Works,Lahore,"Ghulam Ahmad, Babu",Purana Kashmiri Kok Shastra,True,Subject noticed in entry No. 2 at page 30 of the Catalogue for the quarter ending 31st March 1910.,171,Author,Ludhiána,1911-08-15,"1 Re., 8 annas",1st,8°,,,"Babu Ghulam Ahmad Qadiri, No. 154, dated the, 10th November, 1911.",,,Hindi,,Punjab Educational Printing Works,Lahore,Author,Ludhiana,171,[]
1911Q4,357,3,HINDI—MEDICINE.,Hindi,,Medicine,6,1548,1000,"Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,"Salig Ram, Babu","Darbari Ilm unnisa, arthat Darbari Kok Shastra",True,"Subject noticed in entry No. 3 at page 4 of the Catalogue for the quarter ending the 30th September, 1911.",192,Author,Ludhiána,1911-10,"1 Re., 8 annas",1st,8°,,,,,,Hindi,,Punjab Printing Works,Lahore,Author,Ludhiana,192,[]
1911Q4,357,3,HINDI—POETRY.,Hindi,,Poetry,14,1228,700,"Bombay Machine Press, Lahore.",Bombay Machine Press,Lahore,"Parma Nand, Giri",Shri-Saptahikopdesh,True,"Instructions regarding different religious observances daily, according to the Hindu faith.",61,Author,Hoshiárpur,1911-08-10,Free,1st,16°,,,,,,Hindi,,Bombay Machine Press,Lahore,Author,Hoshiarpur,61,[]
1911Q4,357,3,HINDI—POETRY.,Hindi,,Poetry,15,1533,1000,Ditto,Bombay Machine Press,Lahore,,Ram Niti,True,A collection of admonitory verses and maxims.,83,Lala Wálaiti Ram,Jullundur city,1911-10-26,5 annas,1st,16°,,,,,,Hindi,,Bombay Machine Press,Lahore,Lala Walaiti Ram,Jullundur,83,[]
1911Q4,357,3,HINDI—(IN THE GURMUKHI CHARACTERS)—POETRY.,Hindi,Gurmukhi characters,Poetry,16,1528,2000,"Balmukand Press, Lahore.",Balmukand Press,Lahore,"Ram Das, Lala",Mundri,True,Krishna's conversation with a herdsman's wife whose ring he took away.,8,Pandit Roda Ram,Lahore,1911-12-02,3 pies,2nd,8°,,,,,,Hindi,,Balmukand Press,Lahore,Pandit Roda Ram,Lahore,8,[]
1911Q4,357,3,HINDI—MISCELLANEOUS.,Hindi,,Miscellaneous,20,1456,200,"Dayal Press, Jhang.",Dayal Press,Jhang,"Durga Devi, Shrimati",Updesh,True,Advice regarding the education of girls.,12,"Manager, Dayal Press",Jhang,1911-11-27,Free,1st,4°,litho.,,,,,Hindi,,Dayal Press,Jhang,"Manager, Dayal Press",Jhang,12,[]
1911Q4,358,4,PASHTU—RELIGION.,Pashtu,,Religion,3,1239,"2,000","Newal Kishore Press, Lahore.",Newal Kishore Press,Lahore,,Khabra da Salib,True,Certain quotations from the Bible to prove that Jesus Christ was crucified for the expiation of the sins of others.,18,"The Bible Society, Lahore",Lahore,1911-08,"Price,",1st,8°,litho.,,,,X,Pushto,,Newal Kishore Press,Lahore,"The Bible Society, Lahore",Lahore,18,[]
1911Q4,358,4,PUNJABI—ART.,Punjabi,,Art,3,"1,553",500,"Mufid-i-'Am Press, Lahore.",Mufid-i-'Am Press,Lahore,,Kindergarten,True,A Punjabi translation of Knowlton's Kindergarten by Bhai Mohan Singh.,544,"Rai Sahib Munshi Gulab Singh & Sons, Lahore",Lahore,1911,"Price, 2 Rs., 4 annas",1st,8°,,,"The Punjab Text Book Committee, Lahore, No. 169, dated the 15th December 1911.",,,Punjabi,,Mufid-i-Am Press,Lahore,"Rai Sahib Munshi Gulab Singh & Sons, Lahore",Lahore,544,[]
