printed_page,pdf_page,lang,topic,serial,source,field,extraction,other,issue
2,356,English,Language,3,flag,serial,,,"leading digit partly obscured, read as 3"
5,359,Punjabi,Language,2,flag,serial,,,serial digit partly obscured
5,359,Punjabi,Drama,7,flag,serial,,,"serial number illegible, inferred"
5,359,Punjabi,Drama,7,flag,pp_verbatim,,,last digit unclear (606 or 60?)
5,359,Punjabi,Fiction,19,flag,serial,,,serial digit partly obscured
6,360,Punjabi,Miscellaneous,56,flag,price,,,"printed as '2 annas', ink faint on numeral"
6,360,Punjabi,Miscellaneous,58,flag,format,,,printed 'F. C. --/2' ambiguous
7,361,Panjabi,Miscellaneous,,flag,serial,,,serial number not clearly printed
7,361,Panjabi,Miscellaneous,60,flag,serial,,,"leading digit degraded, possibly 60"
7,361,Panjabi,Miscellaneous,63,flag,serial,,,digit unclear
7,361,Panjabi,Miscellaneous,64,flag,copies,,,"reads 1,0C0, likely 1,000"
7,361,Panjabi,Miscellaneous,65,flag,serial,,,digit unclear
7,361,Panjabi,Miscellaneous,66,flag,serial,,,digit unclear
7,361,Panjabi,Miscellaneous,80,flag,serial,,,leading digit unclear
7,361,Panjabi,Miscellaneous,80,flag,reg,,,"first digit ambiguous, possibly 1334"
7,361,Panjabi,Miscellaneous,81,flag,serial,,,digit partially obscured
9,363,Punjabi,Poetry,249,flag,serial,,,"left margin digit faint, read as 249"
9,363,Punjabi,Poetry,249,flag,title,,,romanization Qisra uncertain
9,363,Punjabi,Poetry,251,flag,reg,,,"last digit faint, read as 1510"
9,363,Punjabi,Poetry,252,flag,serial,,,"left margin serial faint, read as 252"
9,363,Punjabi,Poetry,255,flag,serial,,,"serial faint, read as 255"
9,363,Punjabi,Poetry,256,flag,serial,,,"serial faint, read as 256"
10,364,Punjabi,Poetry,259,flag,copies,,,"printed '1,0C0' partly degraded"
11,365,Punjabi,Poetry,265,flag,serial,,,"leading digit degraded, reads '265'?"
11,365,Punjabi,Poetry,265,flag,price,,,"printed 'Price, 12 annas'"
11,365,Punjabi,Poetry,268,flag,price,,,"printed 'Price, 12 annas'"
11,365,Punjabi,Poetry,269,flag,serial,,,"digit degraded, reads '269'?"
11,365,Punjabi,Poetry,270,flag,date,,,day reads '20th'?
12,366,Punjabi,Poetry,275,flag,copies,,,"1,000 reading uncertain but standard"
15,369,Punjabi,Poetry,302,flag,title,,,native script reading uncertain
15,369,Punjabi,Poetry,303,flag,edition,,,printed 'R.' meaning uncertain
16,370,Punjabi,Poetry,309,flag,edition,,,"'R.' printed after litho., meaning unclear"
16,370,Punjabi,Poetry,314,flag,copies,,,"printed '4C0', reading as 400"
18,372,Punjabi,Religion,60,flag,copies,,,"printed 5C0, likely 500"
18,372,Punjabi,Religion,64,flag,price,,,'Ke I' unclear reading
18,372,Punjabi,Religion,65,flag,copyright,,,text partially cut off at right margin
19,373,Punjabi,Religion,68,flag,serial,,,"partly obscured, read as 68"
19,373,Punjabi,Religion,69,flag,serial,,,"partly obscured, read as 69"
20,374,Sanskrit,Religion,1,flag,date,,,"also printed Kartik Krishna 2, Sambat 1968 Vikrami"
21,375,Urdu,Art,13,flag,format,,,'obl.' printed after 8°
21,375,Urdu,Biography,14,flag,serial,,,"serial number obscured, inferred as 14"
21,375,Urdu,Biography,15,flag,serial,,,"serial number obscured, inferred as 15"
22,376,Urdu,Biography,18,flag,printer_verbatim,,,spacing of 'Khadim-ut-Talim' uncertain
22,376,Urdu,Biography,24,flag,reg,,,"last digit faint, could be 1402 or 1403"
23,377,Urdu,Biography,23,flag,serial,,,leading digit unclear
23,377,Urdu,Biography,23,flag,serial,,,printed as 25?
25,379,Urdu,Fiction,42,flag,serial,,,"printed number faint, read as 42"
25,379,Urdu,Fiction,46,flag,reg,,,"digits faint, read as 1314"
25,379,Urdu,Fiction,47,flag,reg,,,"read as 1222, slightly faint"
25,379,Urdu,Fiction,48,flag,serial,,,serial number obscured by pencil mark
26,380,Urdu,Fiction,54,flag,pp_verbatim,,,"reads 88, could be 83"
27,381,Urdu,History,20,flag,reg,,,"digits overwritten, reads 1496 uncertain"
27,381,Urdu,History,20,flag,copies,,,printed 'Do.' resolved to 1000
27,381,Urdu,History,24,flag,serial,,,"serial number obscured by pencil mark, read as 24"
27,381,Urdu,History,25,flag,serial,,,"serial obscured by pencil mark, read as 25"
28,382,Urdu,Law,11,flag,serial,,,"printed as '11' but faint, could be 31"
28,382,Urdu,Language,30,flag,date,,,"printed '19:1.' ambiguous, read as 1911"
29,383,Urdu,Law,13,flag,pp_verbatim,,,"'16' with superscript, possibly '16½'"
31,385,Urdu,Miscellaneous,174,flag,serial,,,"serial number partly obscured, read as 174"
31,385,Urdu,Miscellaneous,179,flag,reg,,,"last digit unclear, read as 1320"
32,386,Urdu,Miscellaneous,185,flag,reg,,,ambiguous reading '1do'
33,387,Urdu,Miscellaneous,189,flag,serial,,,leading digit faint
33,387,Urdu,Miscellaneous,195,flag,copies,,,"reads 1,C00"
33,387,Urdu,Miscellaneous,196,flag,copies,,,"reads 1,0)0"
