quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1911Q3,302,2,ARABIC—MISCELLANEOUS.,Arabic,,Miscellaneous,1,1135,4000,"Nawal Kishore Steam Press, Lahore.",Nawal Kishore Steam Press,Lahore,"Ghausul Azam, Sahib, Rahmatullah","[Shajra-i-Piran-i-Pir Ghausul Azam, Sahib, Rahmatullah.]",True,"Pedigree of Shaikh Abdul Qadir, Jilani.",20,"S. Sadhu Singh, Sewa Singh, Booksellers, Dera Ismail Khan.",Dera Ismail Khan,1911-07,"Price, 3 pies.",1st edition,16°,litho.,,,,,Arabic,,Nawal Kishore Steam Press,Lahore,"S. Sadhu Singh, Sewa Singh, Booksellers, Dera Ismail Khan.",Dera Ismail Khan,20,[]
1911Q3,302,2,ENGLISH—FICTION.,English,,Fiction,1,1153,1000,""" Civil and Military Gazette "" Press, Lahore.",""" Civil and Military Gazette "" Press",Lahore,"A. A. Irvine, Major.",In a Simla Season. An Anglo-Indian story.,False,,131,"The Manager, "" Civil and Military Gazette "" Press, Lahore.",Lahore,1911-07-31,"Price, 1 Re.",2nd edition,8°,,,"Major A. A. Irvine, Divisional Judge, Lahore, No. 136, dated the 5th September 1911.",,,English,,""" Civil and Military Gazette "" Press",Lahore,"The Manager, "" Civil and Military Gazette "" Press, Lahore.",Lahore,131,[]
1911Q3,302,2,ENGLISH—LANGUAGE.,English,,Language,2,1017,1000,"The Punjab Educational Printing Works, Lahore.",The Punjab Educational Printing Works,Lahore,,Notes on Clara L. Thomson's Wordsworth Selections,False,"with complete analysis, full explanations and model questions, designed for the intermediate students of the Punjab University) by Professor S. C. Bhattacharya, M. A. Revised by Professor Wilson.",298,"The Scholars, Own Repository. Lahore",Lahore,1911-07-08,"Price, Re. 1-8-0.",1st edition,16°,,Y,,,,English,,Punjab Educational Printing Works,Lahore,"The Scholars, Own Repository. Lahore",Lahore,298,[]
1911Q3,302,2,ARABIC—LANGUAGE.,Arabic,,Language,5,1087,1500,"Newal Kishore Steam Press, Lahore.",Newal Kishore Steam Press,Lahore,"Muhammad Shuaib, Maulvi",[Tahrir Sanbat maattuhfatil khadimiyyah.],True,"The subject noticed in entry No. 1 at page 3 of the catalogue for the quarter ending the 30th June, 1910.",348,"Fazl Ahad, Abdul Hannan, Booksellers, Peshawar.",Peshawar,1911-06,"Price, 9 annas.",,8°,litho.,Y,,R.,,Arabic,,Newal Kishore Steam Press,Lahore,"Fazl Ahad, Abdul Hannan, Booksellers, Peshawar.",Peshawar,348,[]
1911Q3,302,2,ENGLISH—LAW.,English,,Law,5,839,100,"Punjab Printing Press, Lahore.",Punjab Printing Press,Lahore,,"Departmental Examination of Assistant and Extra Assistant Commissioners, Tahsildars and Munsiffs etc.",False,"Questions papers with answers complete, for 12 examinations, including the one heldiin November, 1910. Group B—Revenue.",38,"Compiled by Lala Ghanshyam Das, M.A., L.L.B., Widwan, Revenue Assistant, Hoshiarpur district.",Hoshiarpur,1911-05,"Price, 5 Rs.",1st edition,9°,,,,,,English,,Punjab Printing Press,Lahore,"Compiled by Lala Ghanshyam Das, M.A., L.L.B., Widwan, Revenue Assistant, Hoshiarpur district.",Hoshiarpur,38,"[{""field"": ""gloss"", ""issue"": ""'heldiin' printed thus, likely 'held in'""}]"
1911Q3,302,2,ARABIC—LANGUAGE.,Arabic,,Language,6,934,6000,"Roz Bazar Steam Press, Amritsar.",Roz Bazar Steam Press,Amritsar,,[Qawaid-i-Baghdadi.. An Arabic Primer.],True,An Arabic Primer.,16,"M. Abdul Ahad, Amritsar.",Amritsar,1911-05-31,"Price, 6 pies.",,8°,litho.,Y,,R.,,Arabic,,Roz Bazar Steam Press,Amritsar,"M. Abdul Ahad, Amritsar.",Amritsar,16,[]
1911Q3,302,2,ENGLISH—LAW.,English,,Law,6,1154,750,""" Civil and Military Gazette "" Press, Lahore.",""" Civil and Military Gazette "" Press",Lahore,,"Reprints of the criminal Rulings of the Chief Court of the Punjab, 1866.—1910",False,"reported in the Punjab Record, annotated with reference to subsequent rulings by A. B. Broadway, Barrister-at-Law, and A. L. Danson, Indian Civil Service, volume I.",1059,"The Manager, "" Civil and Military Gazette "" Press, Lahore.",Lahore,1911-07-31,"Price, 16 Rs.",1st edition,8°,,,"The Proprietors, the "" Civil and Military Gazette "" Press, Lahore, No. 137 dated the 5th September 1911.",,,English,,""" Civil and Military Gazette "" Press",Lahore,"The Manager, "" Civil and Military Gazette "" Press, Lahore.",Lahore,1059,[]
1911Q3,303,3,ENGLISH—MEDICINE.,English,,Medicine,2,919,100,"Messrs. Foy Brothers, Rohtak.",Messrs. Foy Brothers,Rohtak,,Grade Promotion Examination.,False,"Questions put to Sub-Assistant Surgeons, from 1901 to 1910. Collected by Dr. Umr-ud-din, Sub-Assistant Surgeon, Rohtak.",,,,1911-07-05,"Price, 10 annas",1st,8°,,Y,,,X,English,,Messrs. Foy Brothers,Rohtak,,,,"[{""field"": ""serial"", ""issue"": ""printed digit unclear, appears 2""}]"
1911Q3,303,3,ENGLISH—PHILOSOPHY.,English,,Philosophy,2,956,200,"Mufid-i-'Am Press, Lahore.",Mufid-i-'Am Press,Lahore,,"The Intermediate Logic or analytical notes on "" Elementary Logic, Deductive and Inductive, by W. Stanley Jevons.",False,"Compiled and published by L. Ram Parshad, Assistant. office of the Director of Public Instruction, Punjab, Lahore.","3, 55",L. Ram Parshad,Lahore,1910-11-15,Price. Re. 1-8-0.,1st,16°,,Y,,,X,English,,Mufid-i-Am Press,Lahore,L. Ram Parshad,Lahore,58,"[{""field"": ""reg"", ""issue"": ""leading digit degraded, reads ?56""}]"
1911Q3,303,3,ENGLISH—RELIGION.,English,,Religion,5,1143,"1,000","Ripon Press, Lahore.",Ripon Press,Lahore,"Abdul Haq, Qazi.",The Ideal of Womanhood in Islam.,False,"M. Karam Bakhsh, Manager, Muhammadan Tract and Book Depôt, Punjab, Lahore.",36,,Lahore,1911-08-18,"Price, 3 annas.",1st,8°,,,,,,English,,Ripon Press,Lahore,,Lahore,36,[]
1911Q3,303,3,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,16,1073,100,"Mufid-i-'Am Press, Lahore.",Mufid-i-'Am Press,Lahore,,"Jammu and Kashmir Administration Report, Sambat 1961 (1904-05)",False,"by Rai Sahib Diwan Amar Nath, Chief Minister, Jammu and Kashmir State.","19, 3, 144, 70",the compiler,,1911-06-09,Free.,1st,8°,,,,,"X, 4",English,,Mufid-i-Am Press,Lahore,the compiler,,236,[]
1911Q3,303,3,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,17,913,100,"New Commercial Press, Dera Ismail Khan.",New Commercial Press,Dera Ismail Khan,,"Memorandum and Articles of Association of the Frontier Marriage Benefit Society. Ltd., Dera Ismail Khan.",False,The Secretary of the Society ; Dera Ismail Khan.,5. 36,,,1911-07-17,Free.,1st,8°,,,,,X,English,,New Commercial Press,Dera Ismail Khan,,,,[]
1911Q3,303,3,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,18,1152,100,"New Commercial Press, Dera Ismail Khan.",New Commercial Press,Dera Ismail Khan,,"Memorandum and articles of Association of All-India General Business Company, Limited, Dera Ismail Khan, North-West Frontier Province.",False,"The Managing Director of the Association, Dera Ismail Khan.",5. 31,,,1911-08-19,Free.,1st,8°,,,,,X,English,,New Commercial Press,Dera Ismail Khan,,,,[]
1911Q3,303,3,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,19,1031,"1,000","The ""Tribune"" Press, Lahore.","The ""Tribune"" Press",Lahore,,"Report of the Industrial and Agricultural Exhibition of the Punjab, North-West Frontier Province and Kashmir 1909-10.",False,"K. B. Thapar, Secretary, Exhibition Committee, Lahore.","1, 191",,Lahore,1911-07-25,"Price, 2 Rs.",1st,Foolscap,,,,,5,English,,"The ""Tribune"" Press",Lahore,,Lahore,192,[]
