quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1910Q1,2,2,ENGLISH—HISTORY.,English,,History,1,373,500,"The Civil and Military Organ Press, Ludhiana.",Civil and Military Organ Press,Ludhiana,Daya Ram,"History of England, Revision Chart, P. 1",False,"History of England, Revision Chart, P. 1.",,Author,Ludhiána,1910-01-03,2 annas,1st,"22"" x 29""",,Y,,"Section carries '(Designed for educational purposes.)'. A wall chart (size given as 22""x29"" over 2""); no page count.",,English,,Civil and Military Organ Press,Ludhiana,Author,Ludhiana,,[]
1910Q1,2,2,ENGLISH—LANGUAGE.,English,,Language,1,309,500,"Punjab Educational Printing Works, Lahore.",Punjab Educational Printing Works,Lahore,"Das, Mr. J. N., M.A.",Notes on Hamerton's Human Intercourse,False,Notes on Hamerton's Human Intercourse.,346,"The Scholars' Own Repository, Book-sellers",Lahore,1910-02-22,Re. 2,1st,8°,,Y,,Section carries '(Designed for educational purposes.)'.,,English,,Punjab Educational Printing Works,Lahore,"The Scholars' Own Repository, Book-sellers",Lahore,346,[]
1910Q1,2,2,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,1,377,30000,"Egerton Press, Rawalpindi.",Egerton Press,Rawalpindi,,"Scoring book for annual course of musketry, 1910-11",False,"Scoring book for annual course of musketry, 1910-11.",32,"The Manager, Egerton Press",Rawalpindi,1910-03,Rs. 9 per 100,9th,32°,,,"J. R. Thapar & Sons, Egerton Press, Rawalpindi; No. 36, dated the 21st March, 1910.","30,000 copies — a military musketry scoring book, the largest run on this page; priced per 100. Bracket note: previous edition noticed at entry No. 5 on page 3 of the catalogue for the quarter ending the 30th June 1909.",,English,,Egerton Press,Rawalpindi,"The Manager, Egerton Press",Rawalpindi,32,[]
1910Q1,2,2,ENGLISH—HISTORY.,English,,History,2,73,1000,"New Albion Press, Jullundur.",New Albion Press,Jullundur,Ganga Ram,"An Abstract of the History of India, with appendices",False,"An Abstract of the History of India, with appendices.",132,Author,Jullundur,1910-02-12,12 annas,1st,8°,,Y,"Lala Girdhari Lal, Jullundur City; No. 4, dated the 18th February, 1910.",,,English,,New Albion Press,Jullundur,Author,Jullundur,132,[]
1910Q1,2,2,ENGLISH—LANGUAGE.,English,,Language,2,229,600,"The Mercantile Press, Lahore.",Mercantile Press,Lahore,Narinjan Das,Sample Letters and Essays,False,Sample Letters and Essays.,60,"The author, Jammu and Kashmir Education Department",Jammu,1910-01,7 annas,2nd,8°,,Y,,Bracket note: previous edition noticed at entry No. 10 on page 3 of the catalogue for the quarter ending the 30th June 1905.,,English,,Mercantile Press,Lahore,"The author, Jammu and Kashmir Education Department",Jammu,60,[]
1910Q1,2,2,ENGLISH—LANGUAGE.,English,,Language,3,232,3000,"Punjab Economical Press, Lahore.",Punjab Economical Press,Lahore,,New English Primer,False,New English Primer.,32,"Jot Singh, Sant Singh, Book-sellers",Lahore,1910-01-10,1 anna,1st,16°,,Y,,,,English,,Punjab Economical Press,Lahore,"Jot Singh, Sant Singh, Book-sellers",Lahore,32,[]
1910Q1,2,2,ENGLISH—LANGUAGE.,English,,Language,4,312,500,"The Punjab Educational Printing Works, Lahore.",Punjab Educational Printing Works,Lahore,"Roy, Mr. B. S., M.A.",Model questions with answers on Tennyson and Wordsworth selections,False,Model questions with answers on Tennyson and Wordsworth selections. [Arnold's Laureate Poetry Books.],95,"The Scholars' Own Repository, Book-sellers",Lahore,1910-03-05,Re. 1,1st,8°,,Y,,,,English,,Punjab Educational Printing Works,Lahore,"The Scholars' Own Repository, Book-sellers",Lahore,95,[]
1910Q1,2,2,ENGLISH—LANGUAGE.,English,,Language,5,311,1000,Ditto,Punjab Educational Printing Works,Lahore,,English translation of Kavya Manjari,False,"This is Kavya Manjari, a Sanskrit Reader for High Schools, rendered into English by Pandit Todar Mal, with notes and glossary.","65, 90, III",B. L. Suri,Lahore,1910-03-03,10 annas,1st,16°,,,,,X (left margin),English,,Punjab Educational Printing Works,Lahore,B. L. Suri,Lahore,155,[]
1910Q1,3,3,ENGLISH—POETRY.,English,,Poetry,1,298,300,"""The Civil & Military Gazette"" Press, Lahore.",Civil and Military Gazette Press,Lahore,"Cornah, Mr. J. R.",From the Solid Day,False,Poems on different subjects.,47,"Manager, 'The Civil and Military Gazette' Press",Lahore,1910-01-26,Re. 1,1st,8°,,,"Mr. J. R. Cornah, Lahore; No. 31, dated the 21st March, 1910.",,X (left margin),English,,Civil and Military Gazette Press,Lahore,"Manager, 'The Civil and Military Gazette' Press",Lahore,47,[]
1910Q1,3,3,ENGLISH—POLITICS.,English,,Politics,1,138,500,"The ""Panjabee"" Steam Press, Lahore.",Panjabee Steam Press,Lahore,,Self-abnegation in Politics,False,Or a series of letters reprinted from the 'Panjabee' on the self-abnegation of the Hindus in politics.,102,'Panjabee' Press,Lahore,1910-01-01,4 annas,1st,8°,,,,Reprinted letters from the Panjabee on Hindu political 'self-abnegation' — English-language nationalist-press polemic; the only ENGLISH—POLITICS entry.,X (left margin),English,,Panjabee Steam Press,Lahore,'Panjabee' Press,Lahore,102,[]
1910Q1,3,3,ENGLISH—RELIGION.,English,,Religion,1,98,1000,"Wazir-i-Hind Press, Amritsar.",Wazir-i-Hind Press,Amritsar,"Sen, S. C.",The National and the Universal in Religion,False,"A lecture delivered at the 46th Anniversary of the Punjab Brahmo Samaj, Lahore.",31,"The author, Professor, Khalsa College, Amritsar",Amritsar,1910-01-01,2 annas,1st,16°,,,,Brahmo Samaj 46th-anniversary lecture by a Khalsa College professor — cross-community intellectual life in English.,X (left margin),English,,Wazir-i-Hind Press,Amritsar,"The author, Professor, Khalsa College, Amritsar",Amritsar,31,[]
1910Q1,3,3,ENGLISH—SCIENCE (MATHEMATICAL).,English,,Science (Mathematical),1,267,500,"The Popular Press, Lahore.",Popular Press,Lahore,"Bhatia, K. C.","Model papers in Geometry, with solutions",False,"Model papers in Geometry, with solutions.",36,"Lala Mukand Lal, Bhatia",Lahore,1909-11-15,"4 annas, 6 pies",1st,16°,,Y,"Lala Mukand Lal, Bhatia, Lahore; No. 26, dated the 14th January, 1910.",Section carries '(Designed for educational purposes.)'.,,English,,Popular Press,Lahore,"Lala Mukand Lal, Bhatia",Lahore,36,[]
1910Q1,3,3,ENGLISH—VOYAGES AND TRAVELS.,English,,Voyages and Travels,1,3,150,"Mission Steam Press, Ludhiana.",Mission Steam Press,Ludhiána,"William Harper, M.A., B.D.","A Summer in Kashmir, 1909",False,"A Summer in Kashmir, 1909.",48,Author,Ludhiana,1909,Free,1st,8°,,,,Reg 3 — one of the earliest registrations of the year; missionary travel memoir. Format oblong.,X (left margin),English,,Mission Steam Press,Ludhiana,Author,Ludhiana,48,[]
1910Q1,3,3,ENGLISH—MISCELLANEOUS.—concluded.,English,,Miscellaneous,2,228,1000,"The Mercantile Press, Lahore.",Mercantile Press,Lahore,,The Occult Science in India,False,The Occult Science in India.,16,"The Institute of Occult Science Limited, Jagdeo Kalán, Amritsar","Jagdeo Kalán, Amritsar",1910-01,Free,2nd,16°,,,,Bracket note: previous edition noticed at entry No. 5 on page 2 of the catalogue for the quarter ending the 30th September 1908.,,English,,Mercantile Press,Lahore,"The Institute of Occult Science Limited, Jagdeo Kalan, Amritsar","Jagdeo Kalan, Amritsar",16,[]
