printed_page,pdf_page,lang,topic,serial,source,field,extraction,other,issue
1,454,English,History,,flag,serial,,,serial number not clearly printed
1,454,Arabic,Religion,2,flag,title,,,native-script portion not transcribable with certainty
1,454,English,Law,4,flag,serial,,,serial digit faint
1,454,English,Language,5,flag,serial,,,leading digit faint
2,455,English,Law,5,flag,pp_verbatim,,,leading digit uncertain (1061)
2,455,English,Miscellaneous,9,flag,serial,,,serial 9 repeated in this section
2,455,English,Miscellaneous,12,flag,date,,,"year printed as 1913 or 1912, ambiguous"
4,457,Hindi,Miscellaneous,6,internal,copies,45000,,copies outside plausible range
4,457,Hindi,Miscellaneous,7,flag,date,,,"printed as [November, 11911.]"
5,458,Hindi,Poetry,11,flag,reg,,,reading of registration number uncertain
5,458,Hindi,Poetry,16,flag,serial,,,"serial number partly obscured, read as 16"
6,459,Kashmiri,Poetry,1,flag,serial,,,"printed serial number faint, read as 1"
6,459,Pushto,Poetry,1,flag,serial,,,"printed serial number faint, read as 1"
6,459,Pushto,Poetry,1,flag,copyright,,,right margin degraded
6,459,Persian,Peotry,3,flag,topic,,,printed 'PEOTRY' (typo for Poetry)
7,460,Punjabi,History,4,flag,reg,,,reads '712' but digits faint/uncertain
7,460,Punjabi,Fiction,7,flag,date,,,day reads '.2th March' — first digit unclear
7,460,Punjabi,Fiction,8,flag,copies,,,"reads '1,0C0', third digit unclear"
8,461,Punjabi,Law,1,flag,edition,,,printed 'edtion'
8,461,Punjabi,Medicine,4,flag,gloss,,,'Boveedods' name uncertain reading
8,461,Punjabi,Medicine,5,flag,copyright,,,partly obscured text in margin
9,462,Punjabi,Miscellaneous,20,flag,author,,,"'Mit.' with stray 'h' printed below, uncertain"
9,462,Punjabi,Miscellaneous,20,flag,gloss,,,"'s ow' likely 'show', printed with gap"
9,462,Punjabi,Miscellaneous,22,flag,serial,,,"serial number faint/cut, inferred 22"
9,462,Punjabi,Miscellaneous,23,flag,serial,,,"serial number faint/cut, inferred 23"
9,462,Punjabi,Miscellaneous,24,flag,date,,,day reads '20th' but leading digit unclear
9,462,Punjabi,Miscellaneous,25,flag,serial,,,"serial number faint, inferred 25"
9,462,Punjabi,Miscellaneous,25,flag,author,,,"entry title-only with em-dash, author carried from previous (Budha Singh)"
12,465,Punjabi,Poetry,60,flag,author,,,'Sihgh' likely misprint for Singh
13,466,Punjabi,Poetry,72,flag,reg,,,"reads 4£3, likely 483"
13,466,Punjabi,Poetry,74,flag,serial,,,serial number not clearly printed
13,466,Punjabi,Poetry,75,flag,serial,,,serial not clearly printed
13,466,Punjabi,Poetry,76,flag,serial,,,serial not clearly printed
14,467,Punjabi,Poetry,77,flag,printer,,,'Bombay' reading uncertain
14,467,Punjabi,Poetry,85,flag,copies,,,"printed '1,C00' ambiguous, read 1000"
15,468,Punjabi,Poetry,92,flag,title,,,"author line partly obscured, reading uncertain"
15,468,Punjabi,Poetry,93,flag,serial,,,"serial number faint, inferred 93"
16,469,Punjabi,Poetry,95,flag,copies,,,"first digit unclear, reads '3,000'"
16,469,Punjabi,Poetry,96,flag,pp_verbatim,,,reads 'Pp. ?6.' first digit unclear
16,469,Punjabi,Poetry,101,flag,copies,,,"reads '5C0', likely 500"
17,470,Punjabi,Poetry,105,flag,serial,,,"printed serial digits faint, read as 105"
17,470,Punjabi,Poetry,106,flag,serial,,,"printed serial faint, read as 106"
17,470,Punjabi,Poetry,108,flag,serial,,,serial number illegible
17,470,Punjabi,Poetry,109,flag,serial,,,serial number illegible
18,471,Punjabi,Poetry,113,flag,serial,,,printed '113' with superscript mark
18,471,Punjabi,Poetry,117,flag,price,,,"'R.' printed at end of line, price given below"
19,472,Punjabi,Poetry,122,flag,serial,,,"serial number partly obscured, read as 122"
19,472,Punjabi,Poetry,125,flag,copies,,,"read as 3,000 (3,C00 printed)"
20,473,Punjabi,Poetry,127,flag,pp_verbatim,,,printed as 16 but could be misread
20,473,Punjabi,Poetry,129,flag,copyright,,,faint/degraded text in margin
20,473,Punjabi,Poetry,133,flag,copies,,,"printed 1.000, reading as 1000"
21,474,Punjabi,Poetry,134,flag,title,,,native script uncertain
21,474,Punjabi,Poetry,136,flag,title,,,native script uncertain
21,474,Punjabi,Poetry,139,flag,serial,,,"serial number faint, read as 139"
21,474,Punjabi,Poetry,141,flag,reg,,,last digit faint
22,475,Punjabi,Poetry,143,flag,copies,,,"reads 1,030 or 1,000 uncertain"
22,475,Punjabi,Poetry,145,flag,printer,,,'Roz Eazar' possibly 'Roz Bazar'
23,476,Punjabi,Religion,17,flag,edition,,,"'R.' printed after format, meaning unclear"
23,476,Punjabi,Religion,19,flag,serial,,,serial number partly obscured by pencil mark
